code,strategy,name
002117,草上飞: 机构控盘波段，持股待涨,东港股份
002588,草上飞: 机构控盘波段，持股待涨,史丹利
002347,草上飞: 机构控盘波段，持股待涨,泰尔股份
002823,草上飞: 机构控盘波段，持股待涨,凯中精密
605228,草上飞: 机构控盘波段，持股待涨,神通科技
001210,草上飞: 机构控盘波段，持股待涨,金房能源
002539,草上飞: 机构控盘波段，持股待涨,云图控股
000301,草上飞: 机构控盘波段，持股待涨,东方盛虹
600671,草上飞: 机构控盘波段，持股待涨,天目药业
600236,草上飞: 机构控盘波段，持股待涨,桂冠电力
600710,草上飞: 机构控盘波段，持股待涨,苏美达
603015,草上飞: 机构控盘波段，持股待涨,弘讯科技
000970,草上飞: 机构控盘波段，持股待涨,中科三环
002905,三位一体: 步入起飞线，有理操作区,金逸影视
600552,高量不破: 回踩守住底线，必火信号,凯盛科技
002446,草上飞: 机构控盘波段，持股待涨,盛路通信
002476,高量不破: 回踩守住底线，必火信号,宝莫股份
002169,高量不破: 回踩守住底线，必火信号,智光电气
002342,高量不破: 回踩守住底线，必火信号,巨力索具
600416,草上飞: 机构控盘波段，持股待涨,湘电股份
600869,草上飞: 机构控盘波段，持股待涨,远东股份
002201,草上飞: 机构控盘波段，持股待涨,九鼎新材
605018,三位一体: 步入起飞线，有理操作区,长华集团
002765,高量不破: 回踩守住底线，必火信号,蓝黛科技
002465,草上飞: 机构控盘波段，持股待涨,海格通信
002516,草上飞: 机构控盘波段，持股待涨,旷达科技
000159,三位一体: 步入起飞线，有理操作区,国际实业
603093,草上飞: 机构控盘波段，持股待涨,南华期货
000936,草上飞: 机构控盘波段，持股待涨,华西股份
000550,草上飞: 机构控盘波段，持股待涨,江铃汽车
603585,高量不破: 回踩守住底线，必火信号,苏利股份
601377,草上飞: 机构控盘波段，持股待涨,兴业证券
002254,草上飞: 机构控盘波段，持股待涨,泰和新材
603225,草上飞: 机构控盘波段，持股待涨,新凤鸣
600889,高量不破: 回踩守住底线，必火信号,南京化纤
002921,三位一体: 步入起飞线，有理操作区,联诚精密
002527,高量不破: 回踩守住底线，必火信号,新时达
600719,高量不破: 回踩守住底线，必火信号,大连热电
603333,草上飞: 机构控盘波段，持股待涨,尚纬股份
000060,草上飞: 机构控盘波段，持股待涨,中金岭南
603617,三位一体: 步入起飞线，有理操作区,君禾股份
003037,高量不破: 回踩守住底线，必火信号,三和管桩
603680,草上飞: 机构控盘波段，持股待涨,今创集团
603408,草上飞: 机构控盘波段，持股待涨,建霖家居
000821,草上飞: 机构控盘波段，持股待涨,京山轻机
002875,高量不破: 回踩守住底线，必火信号,安奈儿
603990,三位一体: 步入起飞线，有理操作区,麦迪科技
603178,草上飞: 机构控盘波段，持股待涨,圣龙股份
600955,高量不破: 回踩守住底线，必火信号,维远股份
601600,草上飞: 机构控盘波段，持股待涨,中国铝业
000672,高量不破: 回踩守住底线，必火信号,上峰水泥
603300,高量不破: 回踩守住底线，必火信号,海南华铁
600481,高量不破: 回踩守住底线，必火信号,双良节能
600295,草上飞: 机构控盘波段，持股待涨,鄂尔多斯
603608,高量不破: 回踩守住底线，必火信号,天创时尚
002769,草上飞: 机构控盘波段，持股待涨,普路通
600810,高量不破: 回踩守住底线，必火信号,神马股份
002677,高量不破: 回踩守住底线，必火信号,浙江美大
603278,高量不破: 回踩守住底线，必火信号,大业股份
002871,高量不破: 回踩守住底线，必火信号,伟隆股份
002299,草上飞: 机构控盘波段，持股待涨,圣农发展
001299,三位一体: 步入起飞线，有理操作区,美能能源
000617,草上飞: 机构控盘波段，持股待涨,中油资本
002969,草上飞: 机构控盘波段，持股待涨,嘉美包装
600909,草上飞: 机构控盘波段，持股待涨,华安证券
603660,草上飞: 机构控盘波段，持股待涨,苏州科达
002221,草上飞: 机构控盘波段，持股待涨,东华能源
002522,高量不破: 回踩守住底线，必火信号,浙江众成
002510,草上飞: 机构控盘波段，持股待涨,天汽模
002057,草上飞: 机构控盘波段，持股待涨,中钢天源
600641,草上飞: 机构控盘波段，持股待涨,万业企业
002626,三位一体: 步入起飞线，有理操作区,金达威
000592,草上飞: 机构控盘波段，持股待涨,平潭发展
002488,草上飞: 机构控盘波段，持股待涨,金固股份
601212,草上飞: 机构控盘波段，持股待涨,白银有色
605222,三位一体: 步入起飞线，有理操作区,起帆电缆
000703,草上飞: 机构控盘波段，持股待涨,恒逸石化
603025,三位一体: 步入起飞线，有理操作区,大豪科技
002434,草上飞: 机构控盘波段，持股待涨,万里扬
603123,高量不破: 回踩守住底线，必火信号,翠微股份
002206,草上飞: 机构控盘波段，持股待涨,海 利 得
000967,高量不破: 回踩守住底线，必火信号,盈峰环境
002833,三位一体: 步入起飞线，有理操作区,弘亚数控
600765,高量不破: 回踩守住底线，必火信号,中航重机
002152,草上飞: 机构控盘波段，持股待涨,广电运通
002810,高量不破: 回踩守住底线，必火信号,山东赫达
603098,高量不破: 回踩守住底线，必火信号,森特股份
000612,草上飞: 机构控盘波段，持股待涨,焦作万方
000949,草上飞: 机构控盘波段，持股待涨,新乡化纤
600000,草上飞: 机构控盘波段，持股待涨,浦发银行
002334,三位一体: 步入起飞线，有理操作区,英威腾
603915,草上飞: 机构控盘波段，持股待涨,国茂股份
603876,草上飞: 机构控盘波段，持股待涨,鼎胜新材
600135,草上飞: 机构控盘波段，持股待涨,乐凯胶片
600399,草上飞: 机构控盘波段，持股待涨,抚顺特钢
600507,草上飞: 机构控盘波段，持股待涨,方大特钢
002654,高量不破: 回踩守住底线，必火信号,万润科技
002064,草上飞: 机构控盘波段，持股待涨,华峰化学
600338,草上飞: 机构控盘波段，持股待涨,西藏珠峰
600075,高量不破: 回踩守住底线，必火信号,新疆天业
002406,草上飞: 机构控盘波段，持股待涨,远东传动
000919,高量不破: 回踩守住底线，必火信号,金陵药业
601872,草上飞: 机构控盘波段，持股待涨,招商轮船
002340,三位一体: 步入起飞线，有理操作区,格林美
002203,高量不破: 回踩守住底线，必火信号,海亮股份
603936,草上飞: 机构控盘波段，持股待涨,博敏电子
600271,草上飞: 机构控盘波段，持股待涨,航天信息
600598,草上飞: 机构控盘波段，持股待涨,北大荒
600843,草上飞: 机构控盘波段，持股待涨,上工申贝
603809,高量不破: 回踩守住底线，必火信号,豪能股份
601696,草上飞: 机构控盘波段，持股待涨,中银证券
002892,高量不破: 回踩守住底线，必火信号,科力尔
603969,草上飞: 机构控盘波段，持股待涨,银龙股份
002530,高量不破: 回踩守住底线，必火信号,金财互联
603577,草上飞: 机构控盘波段，持股待涨,汇金通
603808,三位一体: 步入起飞线，有理操作区,歌力思
603798,三位一体: 步入起飞线，有理操作区,康普顿
600703,草上飞: 机构控盘波段，持股待涨,三安光电
600682,高量不破: 回踩守住底线，必火信号,南京新百
